Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
2024-07-12 13:56:00,13:56:00,CNR1030064156,Success,CID628215,Mini,Swaroop Nagar,Phool Bagh,217.0,145.0,N/A,N/A,No,N/A,335,UPI,10,3.3,4.3,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-07 06:57:00,06:57:00,CNR1137859674,Success,CID696665,Auto,Vijay Nagar,Juhi,308.0,65.0,N/A,N/A,No,N/A,989,Cash,19,4.9,3.1,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-23 18:42:00,18:42:00,CNR7680364521,Success,CID410979,Bike,Krishna Nagar,Saket Nagar,42.0,55.0,N/A,N/A,No,N/A,191,UPI,1,3.9,3.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-12 20:25:00,20:25:00,CNR3988708782,Success,CID917653,Bike,Naubasta,Ashok Nagar,154.0,85.0,N/A,N/A,No,N/A,395,Credit Card,29,4.4,4.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-12 20:31:00,20:31:00,CNR9461415508,Success,CID375428,Prime Plus,Lakhanpur,Govind Nagar,308.0,140.0,N/A,N/A,No,N/A,1894,Cash,9,3.1,3.7,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-29 13:01:00,13:01:00,CNR1231759504,Success,CID723440,Bike,Naubasta,Tilak Nagar,112.0,135.0,N/A,N/A,No,N/A,108,Cash,48,3.7,3.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-30 10:15:00,10:15:00,CNR7893980594,Driver Not Found,CID727852,Mini,Civil Lines,Harjinder Nagar,0.0,0.0,N/A,N/A,N/A,N/A,224,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-20 00:49:00,00:49:00,CNR4155340283,Canceled by Driver,CID323619,Auto,Rail Bazaar,Saket Nagar,0.0,0.0,N/A,Customer related issue,N/A,N/A,342,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-03 11:27:00,11:27:00,CNR3065809198,Success,CID698983,Prime Plus,Krishna Nagar,Krishna Nagar,35.0,100.0,N/A,N/A,No,N/A,581,UPI,47,4.6,3.6,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-11 19:56:00,19:56:00,CNR4011812519,Canceled by Driver,CID389515,Auto,Phool Bagh,Lakhanpur,0.0,0.0,N/A,Customer was coughing/sick,N/A,N/A,2985,N/A,0,0.0,0.0,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
